Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
1.0,1.0,0.0,2.0,41.14,91.0,4.7314,661.0,4.54
1.0,1.0,0.0,0.0,14.3,64.0,0.821,1450.0,3.66
1.0,0.0,0.0,1.0,45.92,41.0,2.6256,386.0,4.92
1.0,0.0,0.0,1.0,40.52,12.0,0.5025,214.0,3.74
1.0,0.0,0.0,0.0,5.72,3.0,0.0229,44.0,4.55
1.0,0.0,1.0,2.0,34.14,37.0,2.832,549.0,3.83
1.0,0.0,0.0,0.0,38.06,30.0,1.405,343.0,5.54
0.0,0.0,0.0,0.0,33.33,2.0,0.0267,500.0,0.2
0.0,0.0,0.0,0.0,48.47,5.0,0.3594,635.0,0.63
0.0,0.0,0.0,0.0,30.99,13.0,0.601,189.0,4.76
0.0,0.0,0.0,-1.0,34.03,5.0,0.1446,134.0,2.24
0.0,0.0,0.0,0.0,2.06,1.0,0.0023,99.0,1.01
0.0,0.0,0.0,2.0,30.86,41.0,2.2808,685.0,2.92
0.0,1.0,0.0,1.0,27.78,121.0,5.1907,704.0,8.81
0.0,0.0,0.0,0.0,85.0,1.0,0.0302,97.0,0.0
0.0,0.0,0.0,0.0,92.33,1.0,0.0649,142.0,0.0
0.0,0.0,0.0,0.0,11.08,2.0,0.019,82.0,0.0
0.0,0.0,0.0,0.0,89.89,4.0,0.1548,120.0,1.67
0.0,0.0,0.0,0.0,4.56,1.0,0.001,44.0,0.0
0.0,0.0,0.0,0.0,20.01,17.0,0.7265,207.0,5.31
0.0,0.0,0.0,0.0,26.98,2.0,0.018,70.0,2.86
0.0,0.0,0.0,0.0,27.05,4.0,0.174,125.0,0.8
0.0,0.0,0.0,0.0,31.85,16.0,1.0489,164.0,4.27
0.0,0.0,0.0,0.0,17.68,20.0,0.8085,270.0,5.93
0.0,0.0,0.0,0.0,66.61,11.0,0.8365,115.0,5.22
0.0,0.0,0.0,0.0,37.45,2.0,0.0416,108.0,0.93
0.0,0.0,0.0,0.0,37.43,44.0,2.2922,389.0,6.68
0.0,0.0,0.0,0.0,40.26,3.0,0.0554,106.0,0.94
0.0,0.0,0.0,-1.0,16.75,2.0,0.0178,58.0,1.72
0.0,0.0,0.0,1.0,50.63,24.0,0.5029,201.0,7.96
0.0,0.0,0.0,1.0,39.54,25.0,1.3069,303.0,3.63
0.0,0.0,0.0,0.0,44.54,2.0,0.0572,43.0,4.65
0.0,0.0,0.0,0.0,47.2,2.0,0.0333,74.0,2.7
0.0,0.0,0.0,0.0,40.95,13.0,0.6181,135.0,4.44
0.0,0.0,0.0,0.0,18.38,91.0,3.2147,455.0,4.62
0.0,0.0,0.0,0.0,43.2,2.0,0.0264,68.0,2.94
0.0,0.0,0.0,0.0,5.17,1.0,0.0018,91.0,1.1
0.0,0.0,0.0,0.0,30.19,33.0,1.2064,336.0,5.95
0.0,0.0,0.0,0.0,55.88,3.0,0.0554,154.0,0.65
0.0,0.0,0.0,0.0,15.85,12.0,0.4682,134.0,3.73
0.0,0.0,0.0,0.0,37.39,7.0,0.0909,96.0,2.08
0.0,0.0,0.0,0.0,38.93,6.0,0.1064,107.0,1.87
0.0,0.0,0.0,0.0,34.78,7.0,0.2523,135.0,1.48
0.0,1.0,0.0,1.0,29.37,53.0,2.2699,318.0,6.29
0.0,0.0,0.0,0.0,26.95,5.0,0.1127,79.0,3.8
0.0,0.0,0.0,0.0,22.56,15.0,0.3817,186.0,1.61
0.0,0.0,0.0,0.0,74.94,5.0,0.3778,86.0,3.49
0.0,0.0,0.0,0.0,62.04,5.0,0.1172,93.0,4.3
0.0,0.0,0.0,0.0,41.46,56.0,3.2249,492.0,5.49
0.0,0.0,0.0,0.0,47.31,4.0,0.1241,131.0,1.53
0.0,0.0,0.0,0.0,45.43,12.0,0.6663,174.0,5.17
0.0,0.0,0.0,-1.0,52.52,31.0,2.2072,435.0,2.76
0.0,0.0,0.0,0.0,96.96,2.0,0.049,79.0,0.0
0.0,1.0,0.0,0.0,25.68,15.0,1.0175,102.0,5.88
0.0,0.0,0.0,-1.0,28.87,94.0,5.8572,532.0,6.95
0.0,0.0,0.0,0.0,41.54,6.0,0.0789,173.0,1.73
0.0,0.0,0.0,0.0,81.65,1.0,0.0249,63.0,1.59
0.0,0.0,0.0,1.0,41.47,29.0,1.5767,396.0,2.53
0.0,0.0,0.0,0.0,30.47,10.0,0.3106,271.0,2.58
0.0,0.0,0.0,0.0,25.2,24.0,0.8199,130.0,3.85
0.0,0.0,0.0,1.0,37.11,14.0,0.9323,168.0,5.95
0.0,0.0,0.0,0.0,44.67,4.0,0.1132,96.0,1.04
0.0,0.0,0.0,0.0,78.61,4.0,0.1922,117.0,0.85
0.0,0.0,0.0,1.0,57.43,17.0,1.4429,209.0,3.83
0.0,0.0,0.0,0.0,29.56,4.0,0.0263,75.0,0.0
0.0,0.0,0.0,0.0,25.14,45.0,1.5904,397.0,3.78
0.0,0.0,0.0,2.0,38.86,59.0,4.2612,418.0,6.7
0.0,0.0,0.0,1.0,35.45,7.0,0.2461,183.0,1.09
0.0,0.0,0.0,0.0,1.81,1.0,0.0004,61.0,1.64
0.0,0.0,0.0,0.0,25.1,4.0,0.0806,93.0,0.0
0.0,0.0,0.0,5.0,30.95,151.0,7.9588,1885.0,4.56
0.0,0.0,0.0,0.0,38.04,3.0,0.0273,127.0,1.57
0.0,0.0,0.0,2.0,22.49,113.0,2.4285,438.0,6.16
0.0,0.0,0.0,0.0,97.32,1.0,0.0246,121.0,0.0
0.0,0.0,0.0,0.0,19.87,51.0,2.1197,283.0,5.65
0.0,0.0,0.0,0.0,32.8,5.0,0.0679,119.0,0.0
0.0,0.0,0.0,0.0,64.57,1.0,0.0228,55.0,1.82
0.0,0.0,0.0,0.0,41.8,6.0,0.2153,284.0,1.41
0.0,1.0,1.0,2.0,24.89,181.0,8.8219,1419.0,3.1
0.0,0.0,0.0,0.0,26.65,5.0,0.0407,78.0,2.56
0.0,0.0,0.0,0.0,28.02,31.0,0.9411,188.0,4.26
0.0,0.0,0.0,0.0,87.2,1.0,0.0606,53.0,1.89
0.0,0.0,0.0,1.0,37.41,14.0,0.7696,154.0,3.25
0.0,0.0,0.0,1.0,26.08,71.0,3.7136,481.0,4.57
0.0,0.0,0.0,0.0,51.96,2.0,0.0338,45.0,0.0
0.0,0.0,0.0,-1.0,86.18,1.0,0.0426,82.0,0.0
0.0,0.0,0.0,1.0,37.11,26.0,1.407,264.0,4.17
0.0,0.0,0.0,0.0,42.84,2.0,0.0476,107.0,0.93
0.0,0.0,0.0,0.0,30.33,3.0,0.023,120.0,0.83
0.0,0.0,0.0,0.0,46.65,6.0,0.126,121.0,2.48
0.0,0.0,0.0,1.0,26.14,26.0,0.9912,88.0,6.82
0.0,0.0,0.0,0.0,37.21,5.0,0.045,129.0,2.33
0.0,0.0,0.0,0.0,104.08,3.0,0.4345,88.0,2.27
0.0,0.0,0.0,1.0,55.34,7.0,0.2174,113.0,1.77
0.0,0.0,0.0,0.0,20.13,8.0,0.2438,178.0,3.37
0.0,0.0,0.0,0.0,48.53,10.0,0.6889,140.0,4.29
0.0,0.0,0.0,2.0,31.19,125.0,7.2454,1410.0,5.18
0.0,0.0,0.0,0.0,30.82,18.0,0.7874,188.0,2.13
0.0,0.0,0.0,0.0,46.88,2.0,0.0359,134.0,1.49
0.0,0.0,0.0,0.0,19.23,7.0,0.1757,146.0,2.05
0.0,0.0,0.0,0.0,50.05,11.0,0.416,186.0,2.69
0.0,0.0,0.0,0.0,1.0,2.0,0.0007,42.0,4.76
0.0,0.0,0.0,0.0,30.04,30.0,2.0379,345.0,5.8
0.0,0.0,0.0,0.0,0.25,3.0,0.0002,64.0,3.13
0.0,0.0,0.0,0.0,46.76,2.0,0.0426,40.0,0.0
0.0,0.0,0.0,0.0,32.93,37.0,2.105,311.0,4.18
0.0,1.0,0.0,0.0,23.38,23.0,1.2548,403.0,2.73
0.0,0.0,0.0,0.0,22.94,7.0,0.0674,187.0,2.14
