Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
4.0,17.0,3.0,25.0,16.22,1310.0,82.2828,5043.0,12.95
3.0,5.0,2.0,7.0,28.28,571.0,15.4299,1449.0,16.01
2.0,3.0,1.0,12.0,26.91,491.0,18.2432,1811.0,12.53
2.0,13.0,7.0,24.0,26.44,1635.0,87.2852,10525.0,10.21
2.0,12.0,4.0,18.0,31.07,644.0,32.7337,3822.0,8.87
2.0,11.0,2.0,26.0,28.61,962.0,59.406,9454.0,5.91
1.0,2.0,1.0,2.0,31.18,245.0,10.0144,895.0,7.04
1.0,3.0,0.0,5.0,36.86,237.0,14.8737,1578.0,10.14
1.0,13.0,2.0,24.0,32.65,771.0,50.199,5226.0,8.63
1.0,1.0,-1.0,4.0,46.7,125.0,5.3832,1232.0,5.6
1.0,0.0,0.0,4.0,36.19,165.0,7.8625,1332.0,9.16
1.0,0.0,1.0,5.0,36.76,156.0,6.9619,734.0,12.53
1.0,15.0,1.0,21.0,23.73,696.0,26.1489,1706.0,14.07
1.0,0.0,0.0,11.0,58.54,260.0,2.0295,5117.0,2.27
1.0,0.0,0.0,3.0,40.27,111.0,7.7733,436.0,16.74
1.0,3.0,0.0,3.0,22.28,60.0,2.2649,171.0,5.85
1.0,4.0,0.0,11.0,23.16,348.0,15.3782,1846.0,12.13
1.0,1.0,0.0,2.0,39.36,101.0,5.5431,971.0,5.87
1.0,1.0,0.0,9.0,36.44,124.0,7.8451,2250.0,3.16
1.0,5.0,1.0,7.0,35.33,299.0,14.2029,1452.0,12.05
1.0,1.0,0.0,6.0,11.16,150.0,1.8462,2497.0,4.65
0.0,0.0,0.0,0.0,69.01,5.0,0.138,271.0,1.11
0.0,0.0,0.0,0.0,40.45,36.0,2.1599,248.0,5.65
0.0,0.0,0.0,2.0,45.17,44.0,2.9645,671.0,3.87
0.0,0.0,0.0,0.0,22.31,4.0,0.0496,120.0,1.67
0.0,0.0,0.0,0.0,15.55,6.0,0.0793,117.0,3.42
0.0,0.0,0.0,0.0,54.24,2.0,0.122,258.0,0.39
0.0,0.0,0.0,3.0,25.54,46.0,2.1182,457.0,4.81
0.0,0.0,0.0,5.0,30.8,237.0,11.2723,1011.0,13.35
0.0,0.0,0.0,0.0,45.83,6.0,0.0978,131.0,0.76
0.0,0.0,0.0,0.0,27.02,13.0,0.2469,540.0,1.67
0.0,0.0,0.0,0.0,41.52,3.0,0.1066,106.0,0.0
0.0,0.0,0.0,0.0,11.32,2.0,0.0097,131.0,0.76
0.0,0.0,0.0,0.0,16.43,2.0,0.0075,64.0,1.56
0.0,0.0,0.0,0.0,12.35,27.0,0.7123,344.0,4.94
0.0,0.0,0.0,0.0,10.73,1.0,0.0036,90.0,0.0
0.0,0.0,0.0,1.0,21.79,17.0,0.5959,250.0,4.8
0.0,0.0,0.0,2.0,19.31,87.0,3.4577,523.0,9.75
0.0,0.0,0.0,0.0,14.53,32.0,1.0632,332.0,4.82
0.0,0.0,0.0,1.0,40.71,27.0,1.255,151.0,12.58
0.0,0.0,0.0,0.0,42.54,6.0,0.1418,273.0,0.37
0.0,0.0,0.0,5.0,29.89,147.0,6.8593,1242.0,2.33
0.0,0.0,0.0,1.0,36.49,21.0,0.9493,351.0,5.13
0.0,0.0,0.0,2.0,45.92,65.0,4.1537,575.0,6.26
0.0,0.0,0.0,0.0,27.79,3.0,0.0382,137.0,0.73
0.0,0.0,0.0,0.0,10.48,4.0,0.0222,111.0,1.8
0.0,0.0,0.0,0.0,52.77,37.0,0.8081,421.0,5.46
0.0,0.0,0.0,0.0,35.87,29.0,1.3755,234.0,6.41
0.0,0.0,0.0,0.0,57.85,2.0,0.0742,68.0,1.47
0.0,0.0,0.0,0.0,61.81,2.0,0.0436,95.0,1.05
0.0,0.0,0.0,0.0,42.47,18.0,0.8876,163.0,9.2
0.0,1.0,0.0,5.0,22.36,262.0,11.2624,1154.0,7.97
0.0,0.0,0.0,0.0,20.91,1.0,0.0064,43.0,0.0
0.0,1.0,0.0,5.0,27.99,147.0,6.1022,1414.0,7.07
0.0,0.0,0.0,0.0,39.62,5.0,0.0699,263.0,1.52
0.0,0.0,0.0,2.0,22.31,63.0,1.7024,405.0,6.67
0.0,0.0,0.0,1.0,61.37,15.0,0.3065,359.0,3.62
0.0,0.0,0.0,0.0,14.21,36.0,1.2589,198.0,8.08
0.0,0.0,0.0,0.0,31.45,4.0,0.0437,147.0,1.36
0.0,0.0,0.0,1.0,28.38,19.0,0.2457,130.0,3.08
0.0,0.0,0.0,0.0,55.4,29.0,1.6645,176.0,5.11
0.0,0.0,1.0,6.0,30.45,237.0,10.525,1174.0,12.27
0.0,0.0,0.0,0.0,40.77,3.0,0.0445,297.0,0.67
0.0,0.0,0.0,3.0,25.77,85.0,2.7079,412.0,5.1
0.0,0.0,0.0,0.0,25.14,7.0,0.0992,249.0,1.61
0.0,0.0,0.0,1.0,48.41,9.0,0.1682,306.0,1.63
0.0,0.0,0.0,0.0,18.89,6.0,0.1637,296.0,0.34
0.0,0.0,0.0,0.0,3.19,4.0,0.0107,77.0,0.0
