Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
4.0,1.0,3.0,5.0,20.92,563.0,15.2458,1882.0,10.84
4.0,1.0,3.0,10.0,32.59,530.0,26.2438,2353.0,13.94
3.0,12.0,1.0,28.0,38.83,867.0,69.2986,3169.0,12.53
3.0,0.0,0.0,2.0,42.51,152.0,5.6359,1554.0,5.73
2.0,3.0,1.0,2.0,39.02,304.0,18.3187,1464.0,9.29
2.0,3.0,2.0,10.0,30.88,674.0,38.672,2702.0,11.73
2.0,4.0,1.0,7.0,28.17,682.0,33.7753,2761.0,12.06
2.0,1.0,0.0,17.0,32.51,649.0,30.7669,2852.0,10.34
2.0,1.0,0.0,2.0,36.97,107.0,5.0871,849.0,5.42
2.0,6.0,2.0,10.0,25.06,416.0,17.9859,2094.0,12.42
2.0,0.0,0.0,1.0,52.21,38.0,0.9038,502.0,4.18
2.0,0.0,3.0,2.0,31.68,328.0,11.0553,1007.0,6.95
2.0,7.0,6.0,12.0,30.24,1241.0,77.2354,5282.0,12.5
2.0,0.0,0.0,1.0,45.25,26.0,1.5948,395.0,4.81
2.0,1.0,0.0,0.0,33.91,69.0,4.3476,847.0,4.6
2.0,0.0,0.0,2.0,27.88,67.0,3.1648,465.0,5.59
2.0,3.0,0.0,4.0,33.06,463.0,26.9154,2552.0,11.01
2.0,18.0,0.0,36.0,32.55,1347.0,94.641,7196.0,7.25
2.0,0.0,0.0,0.0,28.8,16.0,0.1587,611.0,0.49
2.0,4.0,0.0,5.0,15.42,403.0,10.9274,2671.0,6.74
1.0,0.0,0.0,0.0,23.14,19.0,0.6852,533.0,1.69
1.0,0.0,0.0,0.0,16.51,10.0,0.0917,336.0,0.89
1.0,0.0,0.0,0.0,32.09,49.0,1.3367,1300.0,2.0
1.0,0.0,0.0,1.0,3.23,37.0,0.1381,342.0,1.46
1.0,0.0,0.0,2.0,26.19,118.0,5.7425,1176.0,6.8
1.0,0.0,0.0,0.0,39.62,11.0,0.1549,396.0,1.01
1.0,0.0,0.0,0.0,27.66,21.0,0.4388,420.0,2.14
1.0,0.0,0.0,0.0,39.2,9.0,0.1519,444.0,0.68
1.0,0.0,0.0,0.0,22.77,173.0,8.5004,1245.0,7.07
1.0,0.0,0.0,1.0,24.81,51.0,1.4621,280.0,4.64
1.0,0.0,0.0,0.0,20.0,17.0,0.1888,375.0,1.6
1.0,0.0,0.0,0.0,34.79,17.0,0.2711,408.0,1.47
1.0,0.0,0.0,0.0,16.83,45.0,0.4208,381.0,2.1
1.0,0.0,0.0,1.0,45.5,93.0,1.9275,849.0,6.6
1.0,0.0,1.0,1.0,30.62,57.0,2.3076,604.0,5.3
1.0,0.0,0.0,0.0,26.55,3.0,0.0281,256.0,0.39
1.0,0.0,0.0,0.0,34.84,32.0,1.2945,460.0,2.61
1.0,0.0,1.0,7.0,22.33,359.0,15.7002,1090.0,7.89
1.0,0.0,0.0,0.0,29.43,21.0,0.218,417.0,2.16
1.0,1.0,0.0,2.0,23.08,257.0,7.4488,1406.0,8.82
1.0,0.0,0.0,0.0,35.85,34.0,0.43,670.0,3.13
1.0,0.0,0.0,0.0,22.52,10.0,0.0782,329.0,1.22
1.0,0.0,0.0,2.0,40.22,47.0,1.9585,612.0,3.59
1.0,2.0,1.0,8.0,35.24,596.0,30.6335,2506.0,11.05
1.0,1.0,1.0,0.0,21.46,53.0,0.9729,511.0,2.74
1.0,0.0,0.0,0.0,23.18,5.0,0.0438,295.0,0.34
1.0,0.0,0.0,0.0,38.59,81.0,2.0493,541.0,3.7
1.0,0.0,1.0,0.0,25.24,16.0,0.3052,338.0,0.89
1.0,0.0,0.0,0.0,37.57,26.0,0.3446,279.0,2.15
1.0,0.0,0.0,2.0,27.28,102.0,2.937,950.0,5.68
1.0,0.0,0.0,1.0,33.49,42.0,2.5241,611.0,3.11
1.0,0.0,0.0,0.0,21.55,9.0,0.1185,460.0,0.87
1.0,0.0,0.0,0.0,27.46,71.0,2.8809,733.0,5.18
1.0,2.0,1.0,9.0,28.8,624.0,33.3958,2891.0,10.38
1.0,0.0,0.0,0.0,32.75,17.0,0.4763,366.0,1.09
1.0,2.0,0.0,8.0,35.61,443.0,26.8634,2792.0,8.88
1.0,0.0,0.0,0.0,43.36,5.0,0.0548,330.0,0.91
1.0,0.0,0.0,4.0,16.84,190.0,6.6944,792.0,7.58
1.0,0.0,0.0,1.0,33.09,24.0,0.3618,405.0,3.21
1.0,0.0,0.0,0.0,39.01,21.0,0.2754,1077.0,0.74
1.0,1.0,0.0,0.0,29.55,52.0,1.6645,454.0,2.64
1.0,0.0,0.0,1.0,40.65,61.0,3.6433,708.0,4.24
1.0,1.0,0.0,1.0,25.83,197.0,10.2051,1261.0,7.22
1.0,0.0,0.0,0.0,17.96,21.0,0.1865,365.0,1.92
1.0,0.0,0.0,0.0,36.99,9.0,0.185,357.0,1.68
1.0,0.0,0.0,0.0,37.08,11.0,0.1031,314.0,1.27
1.0,1.0,0.0,1.0,24.72,38.0,0.4226,455.0,3.52
1.0,0.0,0.0,0.0,32.36,17.0,0.7655,334.0,3.59
1.0,0.0,0.0,0.0,43.02,16.0,0.3862,500.0,2.4
1.0,0.0,0.0,1.0,30.45,52.0,2.3974,400.0,1.75
1.0,0.0,0.0,0.0,37.29,21.0,1.1419,461.0,3.04
1.0,0.0,0.0,0.0,6.96,3.0,0.0074,286.0,0.35
1.0,0.0,0.0,0.0,30.34,19.0,0.2626,407.0,2.21
1.0,1.0,0.0,2.0,22.03,99.0,2.9565,749.0,5.21
1.0,0.0,0.0,0.0,45.78,69.0,2.3864,811.0,3.33
1.0,0.0,0.0,0.0,40.88,12.0,0.173,255.0,2.35
1.0,0.0,0.0,0.0,27.99,19.0,0.2423,269.0,1.12
1.0,0.0,0.0,1.0,41.99,55.0,4.0606,570.0,6.67
1.0,0.0,0.0,2.0,27.35,107.0,6.901,682.0,7.04
1.0,0.0,0.0,0.0,20.63,9.0,0.1026,772.0,0.26
1.0,0.0,0.0,0.0,50.48,8.0,0.1346,313.0,1.6
1.0,0.0,3.0,0.0,48.3,80.0,1.4918,891.0,1.57
1.0,0.0,0.0,0.0,44.65,9.0,0.1418,330.0,1.82
1.0,2.0,0.0,0.0,25.91,18.0,0.7876,371.0,2.96
1.0,0.0,0.0,2.0,41.97,115.0,7.5218,1346.0,5.35
1.0,0.0,0.0,0.0,34.21,4.0,0.0346,236.0,1.27
1.0,0.0,0.0,0.0,45.86,40.0,0.6472,446.0,1.79
1.0,0.0,0.0,0.0,30.58,4.0,0.0486,524.0,0.19
1.0,0.0,0.0,0.0,39.77,59.0,0.8277,466.0,2.36
1.0,0.0,0.0,0.0,9.37,1.0,0.0043,224.0,0.0
1.0,0.0,0.0,1.0,50.37,20.0,0.3749,491.0,2.24
1.0,0.0,0.0,0.0,35.22,9.0,0.3029,275.0,1.09
1.0,0.0,0.0,0.0,38.74,14.0,0.5845,337.0,1.48
1.0,0.0,0.0,0.0,14.29,16.0,0.287,274.0,3.28
1.0,0.0,0.0,1.0,29.09,84.0,4.0524,637.0,7.22
1.0,0.0,0.0,0.0,33.98,140.0,5.7213,1021.0,6.27
1.0,0.0,0.0,0.0,41.72,18.0,0.2649,403.0,1.49
1.0,0.0,0.0,0.0,50.68,16.0,0.2703,474.0,1.48
1.0,0.0,0.0,0.0,22.6,44.0,2.1605,754.0,2.65
1.0,0.0,0.0,0.0,14.78,14.0,0.2391,335.0,3.28
1.0,0.0,0.0,0.0,26.11,17.0,0.1122,346.0,2.02
1.0,0.0,0.0,0.0,43.27,44.0,2.3378,533.0,4.13
1.0,0.0,0.0,0.0,27.26,29.0,1.2538,354.0,3.11
1.0,0.0,0.0,0.0,46.29,44.0,0.8826,604.0,4.8
1.0,0.0,0.0,0.0,34.92,7.0,0.1358,315.0,0.32
1.0,0.0,0.0,0.0,43.71,10.0,0.2756,430.0,0.93
1.0,0.0,0.0,0.0,26.67,4.0,0.0767,286.0,0.35
1.0,0.0,0.0,0.0,16.04,26.0,0.4366,387.0,2.84
1.0,0.0,0.0,0.0,42.72,10.0,0.2219,517.0,0.39
1.0,0.0,0.0,0.0,30.87,18.0,0.1636,1242.0,0.81
1.0,0.0,0.0,0.0,17.44,8.0,0.0915,246.0,0.0
1.0,0.0,0.0,0.0,18.03,18.0,0.1145,372.0,1.88
1.0,0.0,0.0,3.0,27.65,111.0,4.4752,926.0,7.24
