Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
6.0,27.0,19.0,20.0,25.9,2116.0,70.184,5336.0,23.93
2.0,3.0,1.0,10.0,36.68,610.0,31.075,3771.0,9.07
2.0,6.0,0.0,10.0,27.68,427.0,26.7248,2974.0,11.16
2.0,2.0,1.0,9.0,31.85,227.0,9.4391,2156.0,7.79
2.0,23.0,7.0,51.0,29.36,1878.0,118.9875,13927.0,6.51
2.0,0.0,1.0,2.0,16.13,357.0,10.1242,2625.0,5.94
1.0,5.0,2.0,7.0,33.42,476.0,23.2013,3016.0,8.79
1.0,2.0,1.0,5.0,34.94,465.0,22.0235,2547.0,7.26
1.0,1.0,2.0,3.0,28.67,365.0,22.5886,1704.0,10.15
1.0,0.0,0.0,2.0,28.95,158.0,6.4284,1694.0,6.08
1.0,4.0,0.0,14.0,29.01,810.0,43.6643,4239.0,9.84
1.0,5.0,0.0,4.0,26.85,250.0,6.4137,2042.0,9.7
1.0,2.0,2.0,8.0,30.81,363.0,16.3104,2215.0,8.4
1.0,3.0,5.0,13.0,22.83,957.0,38.4124,4989.0,9.26
1.0,3.0,2.0,11.0,34.19,584.0,27.5128,3172.0,8.61
1.0,2.0,4.0,13.0,24.99,1224.0,72.1462,8071.0,7.68
1.0,8.0,1.0,8.0,24.72,599.0,25.5389,3803.0,11.41
1.0,2.0,0.0,1.0,18.02,202.0,6.2584,799.0,4.88
1.0,5.0,0.0,6.0,24.61,389.0,15.1834,2209.0,8.42
1.0,1.0,0.0,3.0,39.82,155.0,11.8655,1153.0,8.07
1.0,3.0,0.0,13.0,30.79,475.0,33.3089,3494.0,8.39
1.0,4.0,0.0,2.0,34.1,141.0,5.7557,828.0,7.49
1.0,0.0,0.0,1.0,24.93,114.0,1.5632,410.0,0.98
1.0,0.0,0.0,1.0,28.43,86.0,4.9301,1417.0,3.88
1.0,8.0,0.0,3.0,28.09,394.0,19.4602,2931.0,8.36
1.0,3.0,3.0,13.0,30.49,850.0,42.9828,7269.0,8.34
1.0,0.0,0.0,1.0,16.67,16.0,0.5823,307.0,1.95
1.0,1.0,0.0,1.0,35.8,172.0,3.3186,469.0,1.71
1.0,5.0,1.0,4.0,30.93,368.0,12.7107,2141.0,12.94
1.0,0.0,1.0,4.0,30.66,141.0,9.4628,2199.0,3.59
1.0,4.0,0.0,4.0,38.03,248.0,17.5251,2171.0,5.44
1.0,3.0,0.0,0.0,33.5,187.0,8.3174,1001.0,4.6
1.0,0.0,0.0,0.0,27.55,7.0,0.3482,459.0,0.65
0.0,0.0,0.0,0.0,38.92,17.0,0.2647,1495.0,0.67
0.0,0.0,0.0,0.0,13.5,18.0,0.3605,1915.0,0.63
0.0,0.0,0.0,1.0,25.1,53.0,1.9845,805.0,3.6
0.0,0.0,0.0,0.0,31.93,11.0,0.1083,279.0,1.08
0.0,0.0,0.0,0.0,78.69,8.0,0.3497,407.0,0.98
0.0,0.0,0.0,0.0,32.97,44.0,1.233,688.0,4.65
0.0,0.0,0.0,0.0,28.4,9.0,0.2875,430.0,1.16
0.0,0.0,0.0,4.0,27.6,109.0,5.4226,1450.0,5.24
0.0,6.0,1.0,2.0,31.71,468.0,22.9174,2061.0,9.66
0.0,0.0,0.0,1.0,54.16,14.0,0.2696,383.0,1.83
0.0,0.0,0.0,0.0,20.07,29.0,0.409,628.0,2.23
0.0,0.0,0.0,0.0,32.13,55.0,1.5119,373.0,3.22
0.0,0.0,0.0,0.0,76.79,3.0,0.0992,370.0,0.27
0.0,0.0,0.0,0.0,19.9,4.0,0.0181,209.0,0.96
0.0,1.0,1.0,1.0,25.55,133.0,7.2599,1257.0,5.73
0.0,0.0,0.0,0.0,52.61,8.0,0.1403,282.0,1.06
0.0,1.0,0.0,0.0,28.17,37.0,1.6761,690.0,3.19
0.0,3.0,0.0,1.0,23.12,143.0,6.804,975.0,7.9
0.0,0.0,0.0,3.0,27.33,140.0,8.7456,1252.0,5.59
0.0,0.0,0.0,0.0,48.47,27.0,1.494,327.0,5.2
0.0,0.0,0.0,0.0,47.25,14.0,0.3675,500.0,0.6
0.0,0.0,0.0,4.0,40.87,179.0,10.1798,1134.0,7.5
0.0,0.0,0.0,1.0,31.57,7.0,0.1013,357.0,0.84
0.0,0.0,0.0,0.0,30.21,25.0,0.4007,455.0,0.66
0.0,0.0,0.0,0.0,56.72,65.0,1.5258,711.0,5.91
0.0,2.0,1.0,1.0,43.62,77.0,4.4405,835.0,4.91
0.0,0.0,0.0,0.0,36.42,10.0,0.2337,200.0,2.0
0.0,0.0,0.0,0.0,77.95,3.0,0.0825,268.0,0.37
0.0,0.0,0.0,1.0,33.31,19.0,0.7348,406.0,2.71
0.0,5.0,0.0,8.0,20.66,542.0,21.5254,1914.0,10.29
0.0,0.0,0.0,0.0,53.56,2.0,0.0327,187.0,0.53
0.0,0.0,0.0,0.0,32.84,12.0,0.139,446.0,0.67
0.0,1.0,0.0,2.0,26.16,252.0,7.9841,1126.0,9.59
0.0,0.0,0.0,1.0,38.86,38.0,0.4881,782.0,3.45
0.0,0.0,0.0,1.0,24.12,59.0,3.5029,510.0,6.67
0.0,0.0,0.0,0.0,39.79,8.0,0.1105,346.0,1.45
0.0,0.0,0.0,0.0,38.0,35.0,0.6059,446.0,3.14
0.0,0.0,0.0,1.0,48.45,39.0,1.9579,507.0,3.94
0.0,0.0,0.0,0.0,28.59,44.0,1.0519,451.0,3.99
0.0,0.0,0.0,1.0,27.59,48.0,1.4935,640.0,1.56
0.0,0.0,0.0,0.0,53.27,12.0,0.6445,291.0,3.09
0.0,0.0,0.0,0.0,64.29,13.0,0.3158,324.0,3.09
0.0,1.0,0.0,0.0,31.19,36.0,1.974,448.0,4.02
0.0,0.0,0.0,0.0,35.3,46.0,1.0646,658.0,2.43
0.0,0.0,0.0,1.0,43.91,50.0,2.6832,627.0,5.26
0.0,0.0,0.0,0.0,15.7,6.0,0.0712,457.0,1.09
0.0,0.0,0.0,0.0,20.33,7.0,0.0502,308.0,0.32
0.0,0.0,0.0,0.0,58.75,6.0,0.0891,215.0,1.4
0.0,0.0,0.0,1.0,15.12,124.0,4.9534,461.0,6.29
0.0,0.0,0.0,0.0,21.46,35.0,2.0151,530.0,4.53
0.0,0.0,0.0,0.0,28.15,4.0,0.0357,668.0,0.3
0.0,0.0,0.0,0.0,56.1,3.0,0.0514,167.0,1.2
0.0,0.0,0.0,2.0,39.09,119.0,6.0989,1369.0,5.33
0.0,0.0,0.0,3.0,26.19,129.0,3.4437,1717.0,5.3
0.0,0.0,1.0,0.0,29.43,93.0,3.7107,548.0,3.47
0.0,0.0,0.0,2.0,30.07,34.0,1.8344,570.0,3.86
0.0,0.0,0.0,0.0,51.18,13.0,0.4214,312.0,1.6
0.0,0.0,0.0,0.0,46.94,3.0,0.0861,378.0,0.26
0.0,0.0,0.0,0.0,24.0,27.0,0.9574,560.0,2.68
0.0,0.0,0.0,0.0,45.51,7.0,0.0708,186.0,2.69
0.0,0.0,0.0,0.0,10.48,7.0,0.0727,709.0,0.85
0.0,0.0,1.0,0.0,45.71,26.0,0.2674,222.0,3.6
0.0,0.0,0.0,0.0,52.98,27.0,1.1484,515.0,2.52
0.0,3.0,0.0,7.0,32.38,490.0,27.0137,3907.0,7.81
0.0,0.0,0.0,0.0,31.98,21.0,0.1604,439.0,2.05
0.0,0.0,0.0,0.0,70.53,6.0,0.107,513.0,0.39
0.0,0.0,2.0,1.0,21.16,200.0,8.8527,1417.0,7.2
0.0,0.0,0.0,0.0,52.37,17.0,0.3685,561.0,2.14
0.0,0.0,0.0,0.0,36.43,11.0,0.1414,331.0,2.11
0.0,0.0,0.0,0.0,5.01,7.0,0.0301,775.0,0.65
0.0,0.0,0.0,0.0,50.89,12.0,0.2053,568.0,1.41
0.0,5.0,0.0,16.0,28.72,722.0,40.6121,5803.0,4.79
0.0,0.0,0.0,0.0,36.06,15.0,0.1653,254.0,3.94
0.0,0.0,0.0,1.0,37.53,140.0,5.6922,710.0,6.06
0.0,0.0,0.0,0.0,47.68,8.0,0.2649,353.0,1.42
0.0,0.0,0.0,0.0,53.04,40.0,3.1177,624.0,4.33
0.0,1.0,1.0,4.0,28.95,211.0,12.2524,1848.0,6.17
0.0,0.0,0.0,0.0,47.06,7.0,0.1071,299.0,1.34
0.0,0.0,0.0,0.0,28.74,12.0,0.1706,449.0,1.78
0.0,0.0,0.0,0.0,22.07,6.0,0.0736,476.0,0.21
0.0,0.0,0.0,0.0,42.83,7.0,0.0758,510.0,0.78
0.0,0.0,0.0,0.0,43.29,10.0,0.1948,346.0,1.73
0.0,0.0,0.0,0.0,23.5,55.0,1.8852,425.0,4.47
0.0,0.0,0.0,0.0,40.69,32.0,0.3146,556.0,2.88
0.0,0.0,0.0,0.0,50.63,13.0,0.916,297.0,3.37
0.0,0.0,0.0,0.0,36.89,6.0,0.1242,382.0,1.05
0.0,0.0,0.0,3.0,30.38,87.0,4.0007,604.0,5.63
0.0,0.0,0.0,1.0,42.16,20.0,1.197,607.0,2.8
0.0,10.0,0.0,22.0,30.11,1174.0,65.6816,5575.0,12.65
0.0,0.0,0.0,0.0,28.07,4.0,0.0396,458.0,0.66
0.0,0.0,1.0,0.0,37.53,110.0,5.8606,538.0,6.88
0.0,0.0,0.0,0.0,32.51,14.0,0.1745,555.0,1.44
0.0,1.0,0.0,1.0,21.25,103.0,2.857,911.0,5.16
0.0,1.0,0.0,1.0,48.86,50.0,1.8459,663.0,3.02
0.0,0.0,0.0,0.0,39.24,10.0,0.1384,289.0,1.38
0.0,0.0,0.0,0.0,37.62,10.0,0.0867,235.0,2.55
0.0,0.0,0.0,0.0,49.47,13.0,0.293,256.0,1.17
0.0,0.0,0.0,3.0,32.39,133.0,7.4429,1241.0,6.93
0.0,1.0,0.0,3.0,29.49,126.0,8.6702,858.0,6.53
0.0,0.0,1.0,0.0,22.54,55.0,0.52,878.0,3.53
