Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
2.0,32.0,1.0,38.0,12.94,1892.0,94.7677,5994.0,16.12
2.0,1.0,1.0,7.0,30.99,362.0,15.0828,2356.0,9.08
1.0,0.0,0.0,1.0,17.17,45.0,1.6504,668.0,4.34
1.0,1.0,0.0,1.0,27.86,164.0,6.6509,1115.0,9.15
1.0,3.0,3.0,6.0,20.29,541.0,20.3997,2254.0,15.88
1.0,3.0,0.0,14.0,29.21,280.0,13.9245,2228.0,8.75
1.0,4.0,0.0,7.0,25.97,644.0,15.9815,2456.0,16.08
1.0,15.0,3.0,11.0,28.6,973.0,51.7088,5101.0,11.53
1.0,7.0,2.0,4.0,19.55,597.0,26.3941,2404.0,10.94
1.0,1.0,0.0,3.0,22.61,140.0,4.2286,554.0,7.4
1.0,0.0,0.0,0.0,22.43,48.0,3.0469,600.0,3.17
1.0,0.0,1.0,4.0,30.0,265.0,10.9763,1756.0,11.62
1.0,8.0,1.0,12.0,35.67,783.0,35.2996,2554.0,15.19
1.0,3.0,0.0,9.0,22.21,637.0,18.1202,2275.0,14.55
1.0,1.0,0.0,3.0,22.68,171.0,9.1461,1493.0,7.23
1.0,0.0,0.0,4.0,29.15,242.0,2.4887,2528.0,5.7
1.0,3.0,0.0,5.0,36.1,206.0,12.2073,1635.0,7.03
1.0,5.0,1.0,8.0,26.85,692.0,30.8102,5337.0,8.69
1.0,2.0,2.0,9.0,29.1,653.0,31.0926,4155.0,7.34
1.0,0.0,0.0,1.0,36.46,28.0,1.1797,107.0,3.74
1.0,3.0,1.0,1.0,34.02,144.0,7.4026,1532.0,4.24
1.0,6.0,0.0,13.0,31.25,839.0,26.8733,3050.0,17.8
0.0,0.0,0.0,0.0,33.76,41.0,0.5537,721.0,3.74
0.0,1.0,0.0,0.0,29.45,48.0,2.0965,524.0,3.82
0.0,0.0,0.0,0.0,43.33,116.0,7.4979,1451.0,3.45
0.0,0.0,0.0,0.0,32.9,9.0,0.1045,63.0,6.35
0.0,0.0,0.0,0.0,26.72,17.0,0.2524,248.0,4.44
0.0,0.0,0.0,0.0,34.76,16.0,0.4728,342.0,2.63
0.0,0.0,0.0,0.0,16.66,12.0,0.2249,472.0,1.48
0.0,0.0,0.0,-1.0,25.02,42.0,1.8941,574.0,4.7
0.0,2.0,0.0,8.0,28.33,286.0,12.5141,1503.0,12.11
0.0,0.0,0.0,0.0,41.49,8.0,0.118,246.0,2.85
0.0,0.0,0.0,0.0,58.24,43.0,1.7599,741.0,2.29
0.0,0.0,0.0,0.0,50.7,2.0,0.0868,119.0,0.84
0.0,0.0,0.0,0.0,48.03,4.0,0.1435,458.0,0.44
0.0,0.0,0.0,0.0,26.95,2.0,0.0232,69.0,0.0
0.0,0.0,0.0,0.0,141.99,1.0,0.0323,81.0,1.23
0.0,0.0,0.0,0.0,23.73,7.0,0.0554,106.0,3.77
0.0,0.0,0.0,0.0,11.11,6.0,0.1072,179.0,1.68
0.0,1.0,0.0,2.0,16.71,75.0,2.5799,734.0,3.81
0.0,0.0,0.0,3.0,34.67,18.0,1.4267,278.0,4.68
0.0,0.0,0.0,0.0,24.81,19.0,0.5381,122.0,9.02
0.0,0.0,0.0,0.0,33.09,13.0,0.2389,478.0,1.05
0.0,0.0,0.0,0.0,44.9,9.0,0.2099,816.0,0.98
0.0,0.0,0.0,5.0,33.04,122.0,6.2936,718.0,4.6
0.0,0.0,0.0,0.0,31.39,28.0,1.0888,597.0,4.19
0.0,0.0,0.0,3.0,33.99,45.0,2.2305,298.0,7.05
0.0,0.0,0.0,0.0,49.88,1.0,0.0229,78.0,0.0
0.0,0.0,0.0,1.0,27.85,9.0,0.133,208.0,1.44
0.0,0.0,0.0,1.0,54.22,22.0,0.5401,268.0,5.22
0.0,0.0,0.0,1.0,28.06,37.0,1.3728,208.0,6.25
0.0,0.0,0.0,0.0,19.28,6.0,0.0742,89.0,5.62
0.0,0.0,0.0,0.0,18.34,8.0,0.0517,114.0,4.39
0.0,0.0,0.0,0.0,37.74,8.0,0.3506,78.0,3.85
0.0,1.0,0.0,4.0,16.44,367.0,11.5964,1057.0,5.01
0.0,0.0,0.0,0.0,54.67,1.0,0.0167,53.0,1.89
0.0,1.0,0.0,5.0,26.18,122.0,4.7369,1490.0,6.44
0.0,0.0,0.0,0.0,35.59,16.0,0.2009,508.0,2.36
0.0,1.0,0.0,1.0,26.34,44.0,1.4036,139.0,5.04
0.0,0.0,0.0,0.0,36.39,87.0,1.0552,1474.0,4.48
0.0,0.0,0.0,0.0,21.04,23.0,1.191,149.0,4.03
0.0,0.0,0.0,0.0,77.48,1.0,0.0269,76.0,1.32
0.0,0.0,0.0,0.0,36.79,21.0,0.3519,134.0,8.21
0.0,0.0,0.0,0.0,52.72,12.0,0.6555,86.0,5.81
