Новые комментарии,Поделились,"Отметки ""Не нравится""","Отметки ""Нравится""",Средний процент просмотра (%),Просмотры,Время просмотра (часы),Показы,CTR для значков видео (%)
4.0,6.0,5.0,14.0,23.79,515.0,27.7029,2889.0,11.94
3.0,20.0,12.0,11.0,26.82,1371.0,47.0887,3969.0,19.65
2.0,15.0,3.0,32.0,27.01,1170.0,63.8093,6902.0,9.56
2.0,4.0,2.0,1.0,34.7,278.0,8.7879,1307.0,9.1
2.0,16.0,3.0,19.0,26.95,1056.0,61.4212,7881.0,5.65
1.0,0.0,0.0,2.0,18.46,54.0,2.4539,332.0,3.61
1.0,3.0,2.0,2.0,28.8,219.0,9.1989,1049.0,8.87
1.0,0.0,0.0,1.0,59.73,8.0,0.1739,2238.0,0.13
1.0,1.0,0.0,4.0,34.13,265.0,12.5633,1398.0,9.3
1.0,0.0,0.0,3.0,18.37,53.0,1.025,4302.0,0.93
1.0,2.0,1.0,5.0,32.9,188.0,8.1104,1041.0,5.86
1.0,0.0,0.0,0.0,45.31,9.0,0.1178,2814.0,0.21
1.0,0.0,0.0,1.0,55.11,18.0,0.2232,196.0,5.61
1.0,2.0,0.0,4.0,23.54,596.0,13.4066,2287.0,9.44
1.0,0.0,1.0,6.0,28.77,175.0,7.3412,1056.0,7.77
1.0,20.0,3.0,20.0,25.85,1263.0,60.6718,4336.0,14.85
1.0,4.0,1.0,9.0,33.65,257.0,9.3936,1108.0,7.85
1.0,3.0,0.0,7.0,22.27,103.0,1.3635,4851.0,1.36
1.0,0.0,0.0,2.0,36.68,105.0,5.3706,590.0,10.34
1.0,3.0,0.0,13.0,29.5,194.0,14.1336,4135.0,2.85
1.0,4.0,1.0,9.0,37.78,306.0,12.683,1410.0,9.15
1.0,6.0,2.0,14.0,43.66,478.0,26.3783,2071.0,9.37
1.0,0.0,0.0,2.0,44.34,25.0,1.4748,122.0,4.92
1.0,0.0,1.0,0.0,17.98,114.0,2.8753,1198.0,4.17
1.0,1.0,0.0,2.0,17.31,100.0,2.9133,669.0,6.88
1.0,1.0,0.0,1.0,37.37,71.0,1.7395,501.0,6.59
1.0,0.0,0.0,2.0,36.56,20.0,1.296,2549.0,0.59
1.0,1.0,0.0,8.0,9.38,144.0,2.4693,5469.0,1.81
1.0,0.0,1.0,1.0,14.38,52.0,1.2774,592.0,5.41
1.0,0.0,0.0,6.0,24.19,98.0,2.6081,3099.0,0.65
1.0,2.0,1.0,3.0,30.22,199.0,10.7417,1107.0,7.77
1.0,1.0,0.0,3.0,33.64,198.0,7.7706,1015.0,6.31
1.0,0.0,0.0,0.0,21.79,26.0,0.5966,3993.0,0.38
1.0,2.0,1.0,3.0,33.64,220.0,11.5341,1054.0,6.55
1.0,10.0,2.0,13.0,37.26,429.0,21.4904,1984.0,12.95
1.0,5.0,0.0,1.0,31.42,122.0,6.1977,798.0,5.51
1.0,0.0,0.0,3.0,20.59,111.0,4.2478,531.0,4.33
1.0,0.0,1.0,2.0,26.36,98.0,5.7914,1751.0,3.83
1.0,0.0,0.0,2.0,13.45,55.0,2.4765,4216.0,0.71
1.0,0.0,1.0,12.0,29.66,476.0,21.4548,2380.0,13.53
1.0,0.0,0.0,1.0,40.09,23.0,1.3935,2322.0,0.73
0.0,0.0,0.0,0.0,22.65,5.0,0.0453,582.0,0.34
0.0,0.0,0.0,0.0,18.86,12.0,0.3357,566.0,0.88
0.0,0.0,0.0,0.0,55.1,36.0,2.959,698.0,2.01
0.0,0.0,0.0,0.0,25.76,8.0,0.0635,149.0,2.01
0.0,0.0,0.0,0.0,37.82,7.0,0.1471,221.0,1.36
0.0,0.0,0.0,0.0,50.54,15.0,0.6444,370.0,2.16
0.0,0.0,0.0,0.0,13.46,5.0,0.0757,327.0,0.92
0.0,1.0,0.0,1.0,24.94,66.0,2.9673,717.0,5.3
0.0,3.0,0.0,8.0,28.85,290.0,12.9194,1322.0,9.76
0.0,0.0,0.0,0.0,71.61,5.0,0.1273,271.0,0.37
0.0,0.0,0.0,0.0,47.19,14.0,0.4643,489.0,0.82
0.0,2.0,0.0,1.0,18.91,24.0,0.3883,173.0,2.31
0.0,0.0,0.0,0.0,98.69,1.0,0.0425,266.0,0.0
0.0,0.0,0.0,0.0,56.51,4.0,0.0515,112.0,0.89
0.0,0.0,0.0,0.0,13.58,57.0,1.6536,573.0,6.46
0.0,0.0,0.0,0.0,51.22,8.0,0.1366,122.0,0.0
0.0,0.0,0.0,0.0,19.59,11.0,0.3466,228.0,2.19
0.0,1.0,0.0,0.0,20.12,75.0,3.1063,382.0,7.33
0.0,0.0,0.0,3.0,28.62,71.0,4.6454,617.0,5.19
0.0,0.0,0.0,1.0,40.48,27.0,1.2478,178.0,7.87
0.0,0.0,0.0,0.0,19.52,9.0,0.0976,317.0,0.0
0.0,0.0,0.0,4.0,47.87,23.0,1.3641,2590.0,0.62
0.0,0.0,0.0,1.0,36.74,77.0,3.9371,636.0,5.35
0.0,0.0,0.0,0.0,83.02,3.0,0.1142,264.0,0.38
